,Id,rest_name,Tag
153,154,Spago,pastaverdure fetaapplesalad breadplatter garlicbreadwithcheese tiramisu risotto italian kasbah greaterkailash(gk)1 newdelhi
154,155,Cafe Amaretto, cafe italian continental bakery pizza desserts southpointmall golfcourseroad gurgaon
155,156,Madrina, northindian chinese mughlai fastfood desserts ashokviharphase2 newdelhi
156,157,Naivedyam,kesaribhath maharajadosa mysoreravamasaladosa dahiidli rasampapad gheeroastdosa southindian hauzkhasvillage newdelhi
157,158,Friction The Drinkery,shahipaneerplatter almondshake tadkamaggi moscowmule liitcocktail vegquesadillas fingerfood northindian continental thai italian chinese sector29 gurgaon
158,159,Little Saigon,banhmi clearbroth vietnamesecoffee braisedpork pho gingerchicken vietnamese hauzkhas newdelhi
159,160,Sugarama Patisserie,ferrerorocherpastry dulcedeleche triplechocolate bananabread macaroons mangocheesecake bakery desserts shahpurjat newdelhi
160,161,Fat Butterfly Bakery And Cafe, bakery cafe italian fastfood desserts baanisquare sector50 gurgaon
161,162,DJ's Pizza & Pasta,smokedchickenpasta paneertikkapizza stuffedgarlicbread pastas pizzas margheritapizza pizza italian fastfood pasta sector56 gurgaon
162,163,Farmer's Kitchen,lambseekh tandoorimushrooms falafel mezzeplatter kheer hummus northindian kebab mughlai biryani seafood beverages dlfphase1 gurgaon
163,164,Ice Pice,mangoshakes snickershake icecreamsundae monstershake strawberrymilkshake chocolatemilkshake beverages icecream desserts mgfmetropolismall mgroad gurgaon
164,165,Mad Batter,detoxsmoothie tunasandwich succulentchicken arabiatapasta supremeburger paneertikkasandwich cafe italian continental tex-mex american shoppingmall dlfphase1 gurgaon
165,166,Only Bar Restaurant,goodservice ambience excellentfood greatvalue excellentservice verygoodrestaurant chinese fastfood northindian kebab bhikajicamaplace newdelhi
166,167,Molecule Air Bar, northindian asian beverages italian greenpark newdelhi
167,168,Diggin,tunameltsandwich vegcannelloni chickencrostini gardenburger lamblasagna applecrumblepie continental cafe beverages desserts italian fastfood chanakyapuri newdelhi
168,169,Boa Village,chickentempura soyanuggets bananatoffee bellini salmonsushi tandoorivegplatter asian japanese korean chinese momos thai civillines newdelhi
169,170,FIO Cookhouse and Bar, european modernindian italian desserts epicuriafoodmall nehruplace newdelhi
170,171,The G.T. Road,vegetablekoftacurry tamatarkashorba guricecream punjabirajma ricekheer pinni northindian mughlai streetfood chinese mithai beverages connaughtplace newdelhi
171,172,MKT,prawnrolls grilledchickensteak guacamole newyorkcheesecake burrito ramen oriental mexican continental northindian mughlai middleeastern desserts beverages chanakyamall chanakyapuri newdelhi
172,173,Norenj Wine Dine & Fresh Beer Cafe, continental northindian chinese mughlai tex-mex fastfood salad southcity2 gurgaon
173,174,The Salt Cafe Kitchen & Bar, northindian chinese continental fastfood preetvihar newdelhi
174,175,La Roca, turkish asian modernindian european beverages worldmark1 aerocity newdelhi
175,176,Breakin' Brew, northindian asian continental american italian desserts beverages karkardooma newdelhi
176,177,The Sky Patio,familyfavorite ambianceandmusic outsideseating livesinging customizabledishes cleanliness northindian chinese italian beverages desserts sector81 faridabad
177,178,The Chatter House, fingerfood italian northindian beverages epicuriafoodmall nehruplace newdelhi
178,179,Liv Bar, italian continental beverages worldmark1 aerocity newdelhi
179,180,Gastronomica Kitchen & Bar, european asian northindian italian continental mblockmarket greaterkailash1(gk1) newdelhi
180,181,Ping's Café Orient, asian chinese thai lodhicolony newdelhi
