,Restaurant_Name,Category,Locality,Known_For2,Id
1626,Health Freak's Cafe,"Healthy Food, Salad"," Sector 28, Faridabad",,1627
1627,Kuldeep Paranthe Wala,North Indian," Yusuf Sarai, New Delhi","Mint Oreo Crumble, Kesar Badam, Cold Coffee Shake, Milkshakes",1628
1628,Keventers - Milkshakes & Ice Creams,"Beverages, Desserts, Ice Cream"," DLF Mall of India, Sector 18,  Noida, Noida","Loaded Pizzas, Panneer Butter Masala, Malai Paneer, Rajma Rice, Chole, Butter Roti",1629
1629,Pandit Ji Ka Dhaba,North Indian," Rohini, New Delhi","Paneer Tikka Pizza, Pizzas, White Sauce Pasta, French Fries, Sandwich, Burgers",1630
1630,Caribbean Pizza,"Pizza, Fast Food, Ice Cream"," Sohna Road, Gurgaon","Outdoor Seating Arrangement, Best in Service, Excellent Location, Served Quickly, Clean and Hygienic Place, Large Servings",1631
1631,Bo Tai - Switch,"Asian, Thai, Chinese, Pizza"," Parliament Street, New Delhi","Veg Creamy Pasta, Chocolate Pyramid Pastry, Pista Barfi, Dahi Papdi, Chole Bhatoorey, Kalakand",1632
1632,Evergreen Sweet House,"Continental, South Indian, North Indian, Chinese, Street Food, Ice Cream, Beverages"," Green Park, New Delhi","Paneer Peri Peri, Grilled Cottage Cheese Steak, Nachos N Salsa, Tequila Sunrise, Shisha, Hummus Pita",1633
1633,1 Oak Cafe & Bar,"Continental, Italian, Chinese, North Indian"," Defence Colony, New Delhi","Staff Behaviour is Excellent, Comforting Atmosphere, Seating, Location, Fresh Food, Food Quality",1634
1634,Cafe StayWoke,"Continental, Fast Food, Beverages"," Golf Course Extension, Gurgaon","LEKKA is a pop singer-songwriter who recently released her sensational Debut single ‘Ride’ She was India’s top finalist on South Asia’s biggest English singing show ‘The Stage, Season...Read More",1635
1635,Saga - Cuisines Of India,"Modern Indian, North Indian, Desserts, Mughlai"," Golf Course Road, Gurgaon","Hospitality was Good, Ambience was Super Cool, Variety of Pizza, Customizable Dishes, Weekend Brunch, Vibe",1636
1636,Tera Vita,"Continental, Italian"," Khan Market, New Delhi","Staff Service, Outdoor Seating, Good Hospitality, Variety of Pizza, Weekend Brunch, Good Music",1637
1637,Unwind by Amuse House,"North Indian, Chinese, Continental, Italian"," Khel Gaon Marg, New Delhi","Fusion Menu, Bookshelf, Couple Friendly, Cashless Payments, Customizable Dishes, Cafe",1638
1638,Cafe Reed,"North Indian, Continental, Bakery, Desserts, Asian, Ice Cream, Beverages"," Two Horizon Center, Golf Course Road, Gurgaon","Paneer Fried Rice, Chilli Paneer, Chilli Chicken, Chicken Tikka, White Sauce Pasta, Pasta",1639
1639,Angooor,"North Indian, Continental, Asian, Italian, Beverages"," Punjabi Bagh, New Delhi","Whiskey Cake, Gyoza, Ramen, Pancakes, Cheesecake, Desserts",1640
1640,Harajuku Tokyo Cafe,"Cafe, Japanese, Sushi, Desserts, Asian"," Select Citywalk Mall, Saket, New Delhi","Zafrani Malai Kofta, Keema Mutter, Mutton Seekh Kebab, Kulfi, Chicken Tandoori, Butter Naan",1641
1641,Moets Curry Leaf,"North Indian, Mughlai, Biryani, Rolls, Desserts, Seafood"," Defence Colony Main Market, Defence Colony, New Delhi","Excellent Variety, Cool Ambience, Sitting, Weekend Brunch, Server, Customizable Food",1642
1642,Mesa Wine Bistro,"European, Continental, Salad, Italian"," Worldmark 3, Aerocity, New Delhi","Fettuccine Pasta, Red Wine Sangria, Peri Peri Pizza, Bruschetta, Smoothies, Coffees",1643
1643,The Art House Restaurant,"Cafe, Continental, Kebab, Asian, North Indian, Fast Food, Beverages"," Connaught Place, New Delhi","Thai Spring Roll, Chilli Garlic Noodles, Honey Chilli Potatoes, Starters, Butter Chicken, Pizza",1644
1644,Empress Delhi,"North Indian, Chinese, Continental, Mughlai"," Rajouri Garden, New Delhi","Beautiful View, Awesome Staff, Sanitised Service, Ambience was Super Cool, Best Staff, Large Servings",1645
1645,Rooftop - The View,"North Indian, South Indian, Continental, Italian, Asian, Desserts, Beverages"," Kaushambi, Ghaziabad","Bharwa Tandoori Aloo, Rara Gosht, Tandoori Mushrooms, Chicken Keema, Dahi Ke Sholey, Tandoori Chicken",1646
1646,The Tandoori Village,"North Indian, Mughlai, Italian, Chinese, Beverages"," Sector 18, Noida","Sitting, Weekend Brunch, Vibe, Good Music, Good Wifi, Food Presentation",1647
1647,Altogether Experimental A.T.E,"Cafe, Continental, Healthy Food, Desserts, Beverages"," Saket, New Delhi","Sanitised Service, Ambience was Super Cool, Clean and Hygienic Place, Fantastic Decoration, Served Quickly, Affordable Prices",1648
1648,Greetoz,"Cafe, Chinese, Fast Food, North Indian, Continental"," Delhi University-GTB Nagar, New Delhi","Take your decadence to a new level with a specially curated all-you-can drink buffet with unlimited refills at Grappa Bar.

The available packages are:
INR 2,000 plus taxes for 2 hours
INR 2,800...Read More",1649
1649,"Grappa - Shangri-La's - Eros Hotel, New Delhi","Italian, Finger Food, Salad"," Shangri-La's - Eros Hotel, Connaught Place, New Delhi","Panneer Butter Masala, Chilly Chicken, Margherita Pizza, Chilli Paneer, Raita, Chinese Food",1650
1650,DnD,"Chinese, North Indian, Mughlai"," Sector 6, Dwarka, New Delhi","California Chicken, Grilled Chicken Steak, Crepes, Waffles, Dessert, Coffee",1651
1651,Jen & Cha's,"American, Italian, Mexican, Beverages, Desserts, Salad, Cafe"," Starling Mall, Sector 110, Noida, Noida","Sushi, Dimsums, Mocktails, Cheesecake, Desserts, Drinks",1652
1652,MIC Drop,"North Indian, Chinese, Italian, Continental"," South Extension 2, New Delhi","Cordial Staff, Cozy Ambiance, Pocket Friendly, Street Food, Great Recommendations, Prompt Service",1653
1653,Classic Caterer's,Street Food," Rohini, New Delhi","Shawarma Wrap, Chicken Kalmi, Masala Paneer, Afghan Chicken, Tandoori Chaap, Chicken Shawarma",1654
1654,Manjeet Restaurant,"North Indian, Mughlai, Chinese, Rolls"," Jail Road, New Delhi","Tandoori Tikka, Phirni, Soya Chaap, Malai Kofta, Paneer Tikka, Dal",1655
1655,Garam Dharam,"North Indian, Chinese"," Sector 18, Noida","Roomali Roti, Mutton Curry, Chicken Curry, Malai Tikka, Fish Tikka, Kabab",1656
1656,RDX Reloaded,"Mughlai, North Indian, Chinese, Beverages"," Safdarjung, New Delhi","Kutumb offers India's Largest Thali

Price: 3000/- is reduced down to 2499/- all inclusive.

T&C- 1) Prior booking required
         2) Preparation Time: 30 mins
         3) Sufficient for 4-5...Read More",1657
1657,Kutumb,"North Indian, Chinese, Continental, Desserts"," South City 2, Gurgaon","Soya Masala Chaap, Dal Makhni, Noodles, Momos, Pizza",1658
1658,Hungry Tau,"North Indian, Chinese, Fast Food, Beverages"," DLF Phase 1, Gurgaon","Buffet, Salads, Dessert, White Sauce Pasta, Breads, Pizza",1659
1659,Infinity - Crowne Plaza,"Italian, North Indian, Continental, Beverages"," Crowne Plaza, Mayur Vihar Phase 1, New Delhi","Ample Seating Area, Relaxed Atmosphere, Portions, Table, Location, Seating",1660
1660,Cha-Shi,"Asian, Desserts, Beverages"," DLF Emporio Mall, Vasant Kunj, New Delhi","Steamed Chicken Momo, Chicken Dimsums, Noodle, Spring Roll, Honey Chilli Potato, Fried Rice",1661
1661,Chilli Singh,"Chinese, Thai, Seafood"," Green Park, New Delhi","Rose Milk, Grilled Cheese Sandwich, Green Tea, Momos",1662
1662,"Chai Lelo - Chai, Snacks & More","Tea, Beverages, Fast Food, Street Food"," Green Park, New Delhi","Dragon Rolls, Kitkat Shake, Chilly Potato, Mojito, Mocktails, Soya Chaap",1663
1663,TBH - The Big House Cafe,"Cafe, North Indian, Chinese, Continental"," Satyaniketan, New Delhi","Family Place, Family Restaurant, Good Value, Behavior, Parking, Perfect Presentation",1664
1664,Mughal Cuisine Foods,"Mughlai, North Indian, Fast Food, Beverages"," Jasola, New Delhi","Garlic Paneer Kulcha, Cheese Kulcha, Mix Kulcha, Delux Thali, Chole, Shahi Paneer",1665
1665,Kulcha Republic,North Indian," Karol Bagh, New Delhi","Nutella Milkshake, Thick Shakes, Alfredo Pasta, Mojito, Coffee, Burger",1666
1666,Le Winkies,"Sandwich, Fast Food, Pizza, Street Food, Beverages"," Raj Nagar, Ghaziabad","Amazing Interiors, Comforting Atmosphere, Recommended Place, Food Presentation, Courteous Staff, Worth the Money",1667
1667,Brownie Heaven,Desserts," Punjabi Bagh, New Delhi","Bagels, Paneer Pizza, Pastry, Hot Chocolate, Coffee, Pizzas",1668
1668,Brews N Bagels,"Cafe, Beverages, Panini, Sandwich, Burger, Italian, Rolls"," Sector 50, Gurgaon","Rooftop Ambience, Comfortable Seating Area, View, Courteous Staff, Bar, Polite Staff",1669
1669,Maamouche's Alchemy Bar,"North Indian, Pizza, Bar Food, Kebab"," Starling Mall, Sector 110, Noida, Noida","Maggie, Cheese Garlic Bread, Coffees, Chai, Cold Coffee, Shakes",1670
1670,Chai Sutta Bar,"Beverages, Fast Food, Tea"," Satyaniketan, New Delhi","Staff, Value for Money, Packaging, Service, Taste, Food",1671
1671,CAARA at Ogaan,"European, Mediterranean, Healthy Food, Beverages, Pasta, Bakery"," Chanakyapuri, New Delhi","Good Music, Student Crowd, Customizable Food, Young Crowd, Food Quality, Elaborate Menu",1672
1672,Right Choice Food Hub,"North Indian, Street Food, Chinese, Fast Food, Pizza, Beverages"," Shahdara, New Delhi","Cute Little Place, Breakfast, Amazing Food, Preparation, Hygiene, Food Presentation",1673
1673,Sita Ram Diwan Chand,"North Indian, Street Food"," Paschim Vihar, New Delhi","Awesome Spot to Hangout, Best Staff, Fantastic Decoration, Served Quickly, Nice Concept, Clean and Hygienic Place",1674
1674,Onety One,"Fast Food, Burger, Beverages"," DLF Phase 4, Gurgaon","Variety of Veg Options, Comforting Atmosphere, Great Menu, Fantastic Decoration, Clean and Hygienic Place, Food Tastes Great",1675
1675,Ds Dosa Factory,"South Indian, Chinese, North Indian, Beverages"," Connaught Place, New Delhi","Bar, Ambiance, Music, Best Place, Food Quality, Menu",1676
1676,Lust - Radisson Blu Kaushambi Delhi NCR,Finger Food," Radisson Blu Hotel, Kaushambi, Ghaziabad","Butter Noodles, Lemon Chaap, Veg Tandoori Platter, Achari Chaap, Tawa Chaap, Panner Tikka",1677
1677,The Chaap Factory,"Chinese, North Indian, Momos, Fast Food"," Geeta Colony, New Delhi","Malai Soya Chaap, Panneer Butter Masala, Paneer Tikka Masala, Honey Chilli Potatoes, Dal Makhani",1678
1678,Green Vatika,"North Indian, Chinese, Fast Food, Mughlai, Beverages"," Rohini, New Delhi","Interior, Elaborate Menu, Young Crowd, Customizable Food, Food Quality, Worth the Money",1679
1679,Shagun Sweets,"Mithai, Street Food, Desserts"," Laxmi Nagar, New Delhi","Afghan Chicken, Tawa Chicken, Chicken Tikka Masala, Mutton Curry, Paneer Butter Masala, Chicken Curry",1680
1680,Miglani Eating House,"North Indian, Chinese"," Mukherjee Nagar, New Delhi","Stylish Crockery, Ambience was Super Cool, Served Quickly, Weekend Brunch, Family Crowd, Good Wifi",1681
1681,Gola Sizzlers - Naresh Gola Group,"Chinese, North Indian, Mughlai, Italian, Fast Food, Beverages"," Preet Vihar, New Delhi","Masala Chaap Roll, Chicken Rara, Chilli Potatoes, Chilli Chicken, Spring Roll, Butter Chicken",1682
1682,Late Lateefe,"North Indian, Mughlai, Chinese"," Laxmi Nagar, New Delhi",Chinese Decor and good Chinese delicacies from their Dim sums to Kung Pao Chicken to Dry Chilly Chicken,1683
1683,Nanking,"Chinese, Seafood, Asian"," Vasant Kunj, New Delhi","Huge Vegetarian Menu, Good for Families, Parking Space Available, Breakfast Options, Hygienic Place, Reasonable Rate",1684
1684,Bikaner's Sweets,"Mithai, Street Food, Desserts, South Indian"," Indirapuram, Ghaziabad","Cozy Ambiance, Parking Space, Casual Seating Area, Great Recommendations, Seating Arrangement, Prompt Service",1685
1685,Laguna,Chinese," Yashwant Place Commercial Complex, Chanakyapuri, New Delhi","Family Crowd, Location, Nice Place, Ambience, Quality, Price",1686
1686,Raj Mahal Delux,"North Indian, Mughlai, Chinese"," Old Railway Road, Gurgaon","Cheese Garlic Bread, Pepperoni Pizza, Coffees, Pastas, Spaghetti, Thin Crust Pizza",1687
1687,Amici Cafe,"Cafe, Italian, Salad, Fast Food, Beverages, Pizza"," Defence Colony Main Market, Defence Colony, New Delhi","Maharaja Chicken, Paneer Korma, Chicken Dum Biryani, Afghani Chicken, Veg Biryani, Rolls",1688
1688,Punjabi Zaika,"North Indian, Mughlai, Chinese, Kebab"," Chittaranjan Park, New Delhi","Cleanliness, Seating Area, Best Food under Best Budget, Hygiene, Cafe, Good Wifi",1689
1689,Bars N Beans,"Cafe, Desserts, Fast Food, Beverages, Bakery"," Model Town 1, New Delhi","Brinjal Fry, Bhapa Ilish, Mishti Pulao, Fry Prawns, Premium Veg Thali, Chicken Rezala",1690
1690,Amar Shonar Bangla,"Bengali, North Indian, Seafood"," Chittaranjan Park, New Delhi","Malai Soya Chaap, Veg Hakka Noodles, Honey Chilli Potatoes, Butter Chicken",1691
1691,The Prizm,"North Indian, Chinese"," Sector 7, Dwarka, New Delhi","Aloo Pyaz Paratha, Mixed Vegetables, Panneer Butter Masala, Masala Chaap, Rajma, Thali",1692
1692,Puran Dhaba,North Indian," Ashok Vihar Phase 1, New Delhi","Inexpensive, Price, Quantity, Value for Money, Taste",1693
1693,FKC,"North Indian, Rolls"," Zakir Nagar, New Delhi","Ciabatta Sandwich, Chicken Espetada, Tandoori Fish Tikka, Pita Pocket, Chilli Paneer Gravy, Chicken Seekh",1694
1694,Routine Affaire Bar and Kitchen,"Cafe, Italian, Mexican, American"," MG Road, New Delhi","Breweed Beer, Variety of Beer, Extensive Mocktail Menu, Good Bartenders, Classy Ambience, Cozy",1695
1695,@ Links - Radisson Blu,"Finger Food, Pizza, Beverages"," Radisson Blu, Sector 18, Noida, Noida","Chilli Paneer Dosa, Rava Butter Masala Dosa, Mysore Masala Dosa, Dal Makhni, Momos",1696
1696,The Dosa King,"South Indian, North Indian, Chinese"," Chander Nagar, Ghaziabad","Good Wifi, Student Crowd, Elaborate Menu, Customizable Food, Young Crowd, Good Music",1697
1697,Gyros Kebab And Grill,"Kebab, Fast Food, Mughlai, North Indian, Chinese"," Sector 135, Noida","Best Staff, Comforting Atmosphere, Sanitised Service, Excellent Location, Fantastic Decoration, Very Affordable",1698
1698,Hot Spot Mini Shop,"Italian, Chinese, Sandwich, Fast Food, Beverages, Pizza"," Sector 11, Dwarka, New Delhi","Matki Chicken, Honey Chilli Potatoes, Afghani Chicken, Butter Chicken, Tandoori Chicken, Naan",1699
1699,Dilkhush Food Plaza,"North Indian, Mughlai, Chinese, Rolls"," Paschim Vihar, New Delhi","Chicken Biriyani, Chicken Curry, Kadhai Paneer, Tandoori Chicken, Butter Chicken",1700
1700,Dhaba Cash 'N' Curry Kitchen,"North Indian, Mughlai"," Mahipalpur, New Delhi","Classy Ambience, Fair Prices, Best Staff, Fantastic Decoration, Large Servings, Excellent Location",1701
1701,Forest House Cafe,"North Indian, Chinese, Continental, Fast Food, Beverages"," Sector 17, Dwarka, New Delhi","Rara Meat, Chicken Chowmein, Changezi Chicken, Tawa Chicken, Butter Chicken, Dal Makhani",1702
1702,Mama's,"North Indian, Chinese, Rolls, Fast Food"," Rajinder Nagar, New Delhi","Chicken Makhani, Malai Kofta, Mutton Biryani, Drink, Desserts",1703
1703,The House Of Celeste,"North Indian, Beverages","  32nd Avenue, NH8, Gurgaon, Gurgaon","Variety of Pizza, Weekend Brunch, Good Music, Young Crowd, Customizable Food, Elaborate Menu",1704
1704,Dandy - The Fio Bar,"European, Bar Food, Italian"," Epicuria Food Mall, Nehru Place, New Delhi","Tandoori Veg Platter, Paneer Pizza, Peri Peri Fries, Mocktails, Soya Chaap, Garlic Bread",1705
1705,Daddy Of Drinks,"North Indian, Chinese, Italian, Continental"," Bhikaji Cama Place, New Delhi","Indoor Seating, Owner, Amazing Place, Food Quality, Customizable Food, Presentation",1706
1706,The Master Kitchen,"North Indian, Italian, Mexican, Fast Food, Beverages, Chinese"," Sector 81, Faridabad","Excellent Location, Served Quickly, Hygienic, Clean and Hygienic Place, Fantastic Decoration, Reasonable Prices",1707
1707,Adinath Foodie's Haven,North Indian," R K Puram, New Delhi","Ice Cream Sundae, Chocolate Fudge, Ice Creams, Icecream, Noodle, Chowmein",1708
1708,Rupa Ice Cream Parlour & Restaurant,"Desserts, Beverages, Ice Cream"," Krishna Nagar, New Delhi","Kullad Chai, Jal Jeera, Panneer Butter Masala, Chicken Tandoori, Gulab Jamun, Mojito",1709
1709,Dhaba By Punjab,"North Indian, South Indian, Chinese, Mughlai, Kebab, Beverages"," Indirapuram, Ghaziabad","Friendly Staff, Bar, Concept, Music, Decor, Great Place",1710
1710,The Pint Room,"Finger Food, Italian"," Vasant Vihar, New Delhi","Chilli Potatoes, Oreo Shake, White Sauce Pasta, Sandwiches, Burger, Pasta",1711
1711,Baat Cheet Cafe,"Chinese, North Indian, Fast Food, Beverages, Sandwich, Pizza"," Vaishali, Ghaziabad","Mysore Dosa, Filter Coffee, Panneer Butter Masala, Sambhar, Masala Dosa, Chutneys",1712
1712,Shree Rathnam,"South Indian, North Indian, Chinese"," Rohini, New Delhi","Budget Food, Staff Behaviour, Family Place, Hospitality, Hygiene, Proper Packaging",1713
1713,Punjabi Zaika,"North Indian, Chinese, Rolls"," Pitampura, New Delhi","Afghan Chicken, Tawa Chicken, Malai Kofta, Dal Makhni, Butter Chicken",1714
1714,Rimpy Gold,"North Indian, Mughlai, Kebab"," Malviya Nagar, New Delhi","Shanghai Noodles, Authentic Tibetan Food, Double Fried Pork, Devil Momos, Pork Chilli, Tingmo",1715
1715,Tee Dee,"Tibetan, Chinese, Momos, North Indian"," Majnu ka Tila, New Delhi","Best Staff, Excellent Location, Good Music, Young Crowd, Food Presentation, Timely Service",1716
1716,Bean Sahab,"Cafe, Fast Food, Beverages"," Safdarjung, New Delhi","Afghan Chicken, Dry Manchurian, Tawa Chicken, Kadai Paneer, Chicken Biryani, Paneer Tikka",1717
1717,Punjabi Tadka,"North Indian, Mughlai, Chinese, Fast Food"," Sector 19, Faridabad","Thick Shake, Coffees, Cakes, Breads, Sandwiches, Burgers",1718
1718,Butter Berry,"Desserts, Fast Food, Beverages"," Crossing Republik, Ghaziabad","Momos Platter, Chicken Lollipops, Chinese Platter, Manchurian, Fried Rice, Noodles",1719
1719,Kingdom Of Momos,"Chinese, Momos, Rolls, North Indian"," Sector 7, Dwarka, New Delhi","Chaap Tikka, Tandoori Soya Chaap, Mocktails, Kadhai Paneer, Spring Roll, Soup",1720
1720,Oye! Punjab,"North Indian, Mughlai, Chinese, Kebab"," Sector 10, Dwarka, New Delhi","Panner Tikka, Chole, Samosa, Lassi, Sweets, Butter Naan",1721
1721,New Anand Sagar,"Street Food, Fast Food, North Indian, South Indian, Desserts"," Shahdara, New Delhi","Intimate Setting, Sophisticated, Worth the Price, Good Options, Great Service, Portion Size",1722
1722,Nook,"Modern Indian, Continental, Italian, Asian"," Aloft, Aerocity, New Delhi","Intimate Setting, Great Service, Ambiance, Staff, Experience, Food",1723
1723,Spicy Duck - Taj Palace,Asian," Taj Palace, Chanakyapuri, New Delhi","Cordial Staff, Casual Seating Area, Economical, Cozy Ambiance, Nice Crowd, Mouth Watering Food",1724
1724,Zara Chakh Lo,"North Indian, Chinese, Mughlai, Beverages"," Saket, New Delhi","Soups, Pizzas, White Sauce Pasta, Corn, Salad, Ice Cream",1725
1725,Da' Pizza Planet,"Pizza, Pasta, Fast Food"," Janakpuri, New Delhi","Bar, Good Music, Elaborate Menu, Customizable Food, Portions, Young Crowd",1726
1726,Kimono,"Asian, Japanese, Beverages"," Chanakya Mall, Chanakyapuri, New Delhi","Amazing Decor, Family Restaurant, Family Crowd, Elaborate Menu, Good Wifi, Good Music",1727
1727,Thrive Restaurant,"North Indian, Chinese, Continental, Mughlai, Beverages"," Vasant Kunj, New Delhi","Mirchi Pakoda, Kaju Barfi, Kaju Katli, Jalebi, Rasmalai, Samosa",1728
1728,Bangla Sweet House,"Mithai, Street Food, North Indian"," Gole Market, New Delhi","Oreo Waffle, Waffles, Pancakes, Red Velvet, Ice Cream, Shakes",1729
1729,Waffle Me Up,"Desserts, Fast Food, Beverages"," Sector 7, Dwarka, New Delhi","Family Place, Great Ambience, Family Crowd, Management, Best Food under Best Budget, Ambiance",1730
1730,Nine 11,"North Indian, Chinese, Beverages"," Rohini, New Delhi","Masala Soda, Chicken Popcorn, Mixed Sauce Pasta, Kit Kat Shake, Chocolate Shake, Pastas",1731
1731,Amigo's Hub,"Cafe, Fast Food, Pizza, Wraps, Beverages"," Satyaniketan, New Delhi","Freshly Made Sweets, Good for Families, Good Street Food, Spacious Seating Area, Parking Space Available, Desi Food",1732
1732,Gopal Sweets Corner,"Mithai, Street Food"," Kamla Nagar, New Delhi","Excellent and Fast Service, Good and Nice to Enjoy, Lightings, Variety of Pizza, Weekend Brunch, Good Music",1733
1733,Stormborn,"Cafe, Continental, Fast Food, Desserts, Beverages"," Sector 16, Faridabad",,1734
1734,Juniper Bar - Andaz Delhi,"North Indian, European"," Andaz Delhi, Aerocity, New Delhi","Mutton Seekh Kebab, Mocktails, Soya Chaap, Chicken Curry, Momos, Drinks",1735
1735,Daddy Of Tastes,"North Indian, Chinese, Mughlai, Continental, Desserts"," Sector 29, Gurgaon","Family Restaurant, Sitting Arrangement, Interior, Reasonable Price, Portions, Great Place",1736
1736,Darbar,"North Indian, South Indian, Chinese, Fast Food, Street Food"," Paharganj, New Delhi","Lasooni Naan, Tandoori Mushrooms, Paneer do Pyaza, Drinks",1737
1737,Sahi Dawaat,"North Indian, Chinese"," Omega 2, Greater Noida","Kashmiri Naan, Mocktails, Butter Naan, Dal Makhni, Chaap, Paneer Tikka",1738
1738,Spice N Ice,"North Indian, Mughlai, Chinese, Continental, Fast Food, Beverages"," Karkardooma, New Delhi","Bullet Paneer, Bullet Chicken, Miso Ramen, Dimsum Basket, Soup",1739
1739,Asian Flavours By Chef Jajos,"Chinese, Thai, Japanese"," Baani Square, Sector 50, Gurgaon","Dimer Devil, Begun Bhaja, Bhetki Paturi, Mutton Kasha, Authentic Bengali Food, Veg Cutlet",1740
1740,Abar Khabo,"Bengali, Rolls"," Qutab Plaza, DLF Phase 1, Gurgaon","Best Restaurant, Best Service, Good Wifi, Fast Delivery, Student Crowd, Customizable Food",1741
1741,Tandoori Garh,"Chinese, North Indian, Rolls"," Golf Course Extension, Gurgaon","Good Portion Size, Good Wifi, Young Crowd, Elaborate Menu, Fresh Food, Good Quality",1742
1742,Dalgrak,"Korean, Desserts"," Lajpat Nagar 4, New Delhi","Comforting Atmosphere, Best Staff, Sanitised Service, Excellent Location, Fantastic Decoration, Clean and Hygienic Place",1743
1743,Desian: Proudly Vegetarian,"North Indian, Chinese"," Sector 81, Faridabad","Mix Veg, Thali, Spring Rolls, Dal Makhni, Naan, Biryani",1744
1744,Jhatpat,"North Indian, Chinese"," Yusuf Sarai, New Delhi","Value for Money, Packaging, Ambience, Staff, Menu, Taste",1745
1745,EBISU Fine Japanese Cuisine,"Japanese, Sushi"," Sector 54, Gurgaon","Comforting Atmosphere, Served Quickly, Clean and Hygienic Place, Best Staff, Nice Concept, Weekend Brunch",1746
1746,Annakoot,"Chinese, North Indian, South Indian, Fast Food, Street Food"," Vikas Marg, New Delhi","Bar, Decor, Elaborate Menu, Customizable Food, Fresh Food, Good Quality",1747
1747,Yi Jing,"Chinese, Asian"," Sheraton New Delhi Hotel, Saket, New Delhi","Rajma Rice, Masala Chaap, Chole Bhature, Lassi, Naan, Snacks",1748
1748,Grover Sweets,"Mithai, North Indian, Fast Food, Chinese, Momos"," Subhash Nagar, New Delhi","Authentic Sweets, Reasonable Rates, Hygiene, Ambience, Quality, Experience",1749
1749,Shagun Sweets,"Mithai, Street Food"," Ambedkar Road, Ghaziabad","Finger Food, Continental, Mediterranean, Italian, Asian",1750
1750,The Highbrooks Cafe,Beverages," SDA, New Delhi","Wild Mushroom Risotto, Chicken Sandwich, Chocolate, Cheesecake, Pasta",1751
1751,Whiz Cafe,"Cafe, Fast Food, Desserts, Beverages"," Greater Kailash 2 (GK2), New Delhi","Chirpy Crowd, Lip Smacking Food, Mouth Watering Food, Polite Staff, Taste",1752
1752,Kallu Nihari,Mughlai," Daryaganj, New Delhi","Chocolate Truffle Pastry, Blueberry Cheesecake, Cakes, Coffee",1753
1753,Truffle Story,"Bakery, Desserts, Beverages"," Chittaranjan Park, New Delhi","Baked Penne Pasta, Maggi Pasta, Punjabi Pasta, Chicken Wrap, Mixed Sauce Pasta, Pastas",1754
1754,Hashtag Foods,"Burger, Pizza, Pasta, Chinese, Sandwich, Fast Food, Desserts, Beverages"," Janakpuri, New Delhi","Economical, Cozy Ambiance, Cute Little Place, Good Crowd, Prompt Service, Great Recommendations",1755
1755,Shilloi Restaurant,Naga," Safdarjung, New Delhi","Honey Potato, Kitkat Shake, Noodle, Mocktails, White Sauce Pasta, Mojito",1756
1756,Moh Maya Cafe,"North Indian, Continental, Chinese, Italian, Lebanese, Momos"," Delhi University-GTB Nagar, New Delhi","Chicken Nasi Goreng, Prawn Satay, Som Tam Salad, Thai Red Curry, Crispy Vegetables, Veg Hakka Noodles",1757
1757,Red Hot - The Asian Kitchen,"Asian, Chinese, Japanese, Thai"," Sushant Lok, Gurgaon","Comfortable Seating Area, Family Place, View, Decent Place, Nice Ambience, Family Crowd",1758
1758,Cafe 24 - Hotel City Park,"Continental, North Indian, Chinese"," Hotel City Park, Pitampura, New Delhi","Paneer Tikka Pizza, Spring Rolls, Paneer Lababdar, Dal Makhni",1759
1759,Khawesome Cafe,"Cafe, Continental, North Indian, Chinese, Mughlai, Desserts, Beverages"," Janakpuri, New Delhi","Cozy Ambiance, Polite Staff, Tasty Food, Worth the Money, Delicious Food, Good Food",1760
1760,Rama Bhojnalaya Since 1975,North Indian," Sector 7, Faridabad","Unlimited Refills, Bang for the Buck, Economical, Nice Crowd, Comfort Food, Polite Staff",1761
1761,Amritsari Kulcha Sardar Ji,"North Indian, Beverages, Street Food"," Pitampura, New Delhi","Chicken Steamed Momos, Paneer Momos, Shawarma, Rolls, Chicken Biryani, Dal Makhani",1762
1762,Sheikh Chang Singh,"Rolls, Momos, North Indian, Lebanese, Beverages"," Hauz Khas, New Delhi","Keema Curry, Keema Mutton, Keema Kaleji, Chicken Biryani, Meat",1763
1763,Ambersari Dhaba,North Indian," Lajpat Nagar 1, New Delhi","Mouth Watering Food, Low Price, Polite Staff, Hygiene, Perfect Place, Prices",1764
1764,Kumar Hotel,"North Indian, Mughlai, Beverages"," Moti Nagar, New Delhi","Shisha, Chicken Spring Roll, Chilli Potatoes, Lasagna, Mixed Sauce Pasta, Maggi",1765
1765,Chill'm Bar N Cafe,"North Indian, Italian, Chinese, Continental"," Kamla Nagar, New Delhi","Dahi Mutton, Achari Chicken, Kadhai Mushroom, Rumali Roti, Daal Makhni, Tandoori Chicken",1766
1766,Moti Mahal,"North Indian, Chinese, Mughlai"," Daryaganj, New Delhi","Location of the Restaurant, Variety of Pizza, Outdoor Seating, Weekend Brunch, Good Music, Student Crowd",1767
1767,NYC Central & Co,"American, Fast Food, Beverages"," Sector 37, Noida","Besan Burfi, Pyaz Ki Kachori, Paneer Kadai, Aloo Sabji, Paneer Parantha, Butter Naan",1768
1768,Bikaner Express,"North Indian, Chinese, Fast Food, South Indian, Street Food, Mithai, Beverages"," Sector 9, Dwarka, New Delhi","Onion Kachori, Jalebi, Samosa, Sweets, Spring Roll, Gulab Jamun",1769
